gtin	descricao	preco	product_url	url_photo
7894904685691.0	Filé de Peito de Frango Seara Dagranja 1kg	24.69	http://www.comper.com.br/file-de-peito-de-frango-seara-dagranja-1kg/p	https://comper.vteximg.com.br/arquivos/ids/195359-1000-1000/1075586_File-de-peito-DaGranja-IQF-1kg_1.jpg?v=637665285180900000
7893000436725.0	Sobrecoxa de Frango Sadia 1kg	19.98	http://www.comper.com.br/sobrecoxa-de-frango-sadia-1kg/p	https://comper.vteximg.com.br/arquivos/ids/178616-1000-1000/Sobrecoxa-de-Frango-Congelada-Sadia-1kg.jpg?v=637362879886570000
7891527000320.0	Linguiça de Frango Copacol Fina 800g	16.98	http://www.comper.com.br/linguica-de-frango-copacol-fina-800g/p	https://comper.vteximg.com.br/arquivos/ids/189167-1000-1000/926337.jpg?v=637602466815300000
7493.0	Linguiça Seara Suína	11.99	http://www.comper.com.br/linguica-seara-suina/p	https://comper.vteximg.com.br/arquivos/ids/188378-1000-1000/794767_1.jpg?v=637553872066400000
571.0	Peito de Frango Resfriado	8.49	http://www.comper.com.br/peito-de-frango-resfriado/p	https://comper.vteximg.com.br/arquivos/ids/180679-1000-1000/743852_1.jpg?v=637424320107870000
134.0	Rabo Bovino	17.49	http://www.comper.com.br/rabo-bovino/p	https://comper.vteximg.com.br/arquivos/ids/180640-1000-1000/719439_1.jpg?v=637423671704000000
7891527031676.0	Petisco de Frango Copacol Temperado 1kg	17.39	http://www.comper.com.br/petisco-de-frango-copacol-temperado-1kg/p	https://comper.vteximg.com.br/arquivos/ids/189162-1000-1000/688533.jpg?v=637602465125330000
7891527000795.0	Filé de Sassami de Frango Copacol Pacote 1kg	20.29	http://www.comper.com.br/file-de-sassami-de-frango-copacol-pacote-1kg/p	https://comper.vteximg.com.br/arquivos/ids/189156-1000-1000/656070.jpg?v=637602463246700000
7893000005945.0	Filé de Peito de Frango Sadia sem Osso e sem Pele 1kg	26.98	http://www.comper.com.br/file-de-peito-de-frango-sadia-sem-osso-e-sem-pele-1kg/p	https://comper.vteximg.com.br/arquivos/ids/178581-1000-1000/File-de-Peito-de-Frango-Congelado-sem-Pele-sem-Osso-Sadia-1kg.jpg?v=637362879680770000
7891527005448.0	Linguiça de Frango Copacol Pacote 800g	19.69	http://www.comper.com.br/linguica-de-frango-copacol-pacote-800g/p	https://comper.vteximg.com.br/arquivos/ids/189146-1000-1000/209481.jpg?v=637602460798330000
7891515500023.0	Sobrecoxa de Frango Sadia Bio 1kg	20.49	http://www.comper.com.br/sobrecoxa-de-frango-sadia-bio-1kg/p	https://comper.vteximg.com.br/arquivos/ids/182535-1000-1000/7891515500023.jpg?v=637492560322930000
6762.0	Alcatra Bovina Baby Beef Resfriado 1kg	48.98	http://www.comper.com.br/alcatra-baby-beef-resfriado-1kg/p	https://comper.vteximg.com.br/arquivos/ids/179527-1000-1000/19-10-Alcatra-Baby-Beef-Resfriado-1kg--1-.jpg?v=637387074127530000
7894904095742.0	Sobrecoxa de Frango Seara Orgânico Bandeja 600g	15.98	http://www.comper.com.br/sobrecoxa-de-frango-seara-organico-bandeja-600g/p	https://comper.vteximg.com.br/arquivos/ids/195362-1000-1000/2547597_Sobrecoxa-de-Frango-Seara-Organico-Bandeja-600g_1.jpg?v=637665287885900000
7894904006205.0	Bacon Seara Gourmet em Cubos 140g	12.99	http://www.comper.com.br/bacon-seara-gourmet-em-cubos-140g/p	https://comper.vteximg.com.br/arquivos/ids/171568-1000-1000/seara334.png?v=637279942750430000
7898067340510.0	Pão de Alho Santa Massa Tradicional 240g	10.98	http://www.comper.com.br/pao-de-alho-santa-massa-tradicional-240g/p	https://comper.vteximg.com.br/arquivos/ids/158580-1000-1000/2280523.jpg?v=637210494081200000
3216.0	Maminha Bovina Inteira Para Churrasco	27.49	http://www.comper.com.br/maminha-bovina-inteira-para-churrasco/p	https://comper.vteximg.com.br/arquivos/ids/182017-1000-1000/1647423.jpg?v=637467736518930000
3196.0	Alcatra Bovina Peça	40.98	http://www.comper.com.br/alcatra-bovina-peca/p	https://comper.vteximg.com.br/arquivos/ids/199868-1000-1000/1646915_Alcatra-Bovina-Peca.jpg?v=637697202460900000
2666.0	Paleta Suína com Osso Toucinho	8.49	http://www.comper.com.br/paleta-suina-com-osso-toucinho/p	https://comper.vteximg.com.br/arquivos/ids/182341-1000-1000/1535447-paleta-suina.jpg?v=637485966622570000
7894904201808.0	Linguiça de Pernil Seara Gourmet com Alho 500g	18.49	http://www.comper.com.br/linguica-de-pernil-seara-gourmet-com-alho-500g/p	https://comper.vteximg.com.br/arquivos/ids/171465-1000-1000/seara231.png?v=637279942356130000
7894904727209.0	Linguiça de Frango Seara 700g	18.98	http://www.comper.com.br/linguica-de-frango-seara-700g/p	https://comper.vteximg.com.br/arquivos/ids/188399-1000-1000/1273558_1.jpg?v=637553881691270000
7891527062991.0	Filé de Tilápia Copacol Pacote 800g	34.98	http://www.comper.com.br/file-de-tilapia-copacol-pacote-800g/p	https://comper.vteximg.com.br/arquivos/ids/189109-1000-1000/7891527062991.jpg?v=637601603001130000
